country_name,country_code,dem_vdem,rle_vdem,prop_vdem,fh_cl,fh_pr,rle_wb,dem_polity,area,pop,pop_rural,gini,nat_resources,gdp_pc.1995,region,educ,conflict,elec_access,life_exp,gdp_pc
Poland,POL,0.866,0.948,0.909,1,1,0.802,10,311161.237,37986412,15088963,31.8,0.717581436,5638.14491,1,9.696,0,100,77.85121951,12979.25595
Brazil,BRA,0.867,0.77,0.886,2,2,-0.147,8,8523619.571,204471769,29096331,51.9,2.386846557,6584.739221,2,8.14,0,99.7,75.23,8455.323481
United States of America,USA,0.89,0.98,0.872,1,1,1.596,10,9468306.22,320742673,58788250,41.2,0.234698331,41794.19221,5,13.61,0,100,78.53902439,57418.93385
Portugal,PRT,0.868,0.954,0.907,1,1,1.147,10,92026.586,10358076,3779248,35.5,0.135141094,15782.63468,5,7.82,0,100,81.12439024,19692.98868
El Salvador,SLV,0.668,0.541,0.71,3,2,-0.585,8,20692.839,6325124,1916512,40.6,0.850742983,2839.205247,2,5.93,0,96,72.644,3781.217023
Bangladesh,BGD,0.331,0.216,0.831,4,4,-0.751,1,138505.328,156256276,102647880,NA,0.934311292,572.4384537,6,4.69,0,75.92,71.785,1322.694812
Bolivia,BOL,0.633,0.474,0.615,3,3,-1.141,7,1092697.436,10869730,3435596,46.7,3.767257349,1920.317932,2,8.268,0,91.8,70.626,3118.913683
Haiti,HTI,0.425,0.139,0.803,5,5,-1.181,0,27315.459,10695542,5088189,NA,0.572188967,1270.12958,2,4.23,0,40.4,62.896,1394.219997
Honduras,HND,0.464,0.268,0.825,4,4,-0.926,7,112871.255,9112916,4085771,49.2,1.568462312,1741.666305,2,5.79,0,91.6,74.701,2351.093586
Mali,MLI,0.56,0.416,0.838,4,5,-0.735,5,1259194.501,17438778,10464833,NA,7.388938214,511.8975812,4,1.51,0,38.86705399,57.987,772.1318362
Pakistan,PAK,0.482,0.381,0.645,5,4,-0.767,7,879492.897,199426964,127581399,32.6,1.246643048,1008.224761,6,5.97,1,71.58531952,66.77,1402.087871
Peru,PER,0.767,0.73,0.69,3,2,-0.485,9,1299028.078,30470734,6899489,43.4,3.86737756,3165.489972,2,8.87,0,94.2,76.044,6380.025857
Senegal,SEN,0.645,0.83,0.754,2,2,-0.142,7,197172.573,14578459,7892481,NA,3.491946114,978.3107544,4,2.99,0,64.5,67.078,1260.848057
South Sudan,SSD,0.182,0.072,0.093,6,7,-1.855,0,631411.105,10715658,8695541,NA,11.1791739,NA,4,NA,1,5.128197193,57.12,NA
Sudan,SDN,0.245,0.093,0.148,7,7,-1.211,-4,1870245.09,38902950,25717183,NA,3.46480381,961.208872,4,NA,1,48.83090973,64.663,2042.112807
